                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5065,                 3.5459,                 1.3966,                0.00305,                0.91416,                0.53182,                0.31438,                 1.2814,                 3.6794,                 1.1154,                0.00024,                0.00024,                0.00024
                      2,                 1.4521,                 2.1847,                 1.2298,                0.00312,                0.93562,                0.47582,                 0.2379,                 1.2599,                  3.701,                 1.1636,             0.00049505,             0.00049505,             0.00049505
                      3,                 1.4591,                 2.1978,                 1.2539,                0.87402,                0.14891,                0.33076,                0.16349,                  1.532,                 3.7971,                 1.4071,             0.00074495,             0.00074495,             0.00074495
                      4,                  1.469,                 1.9457,                 1.2278,                0.68228,                0.07376,                0.18455,                 0.0483,                 1.7428,                 4.1201,                 1.5641,             0.00098971,             0.00098971,             0.00098971
                      5,                 1.3571,                 1.7991,                 1.1793,                0.66371,                0.16309,                 0.2137,                0.09616,                  1.552,                 3.8535,                 1.4117,              0.0012293,              0.0012293,              0.0012293
                      6,                 1.4574,                 1.8503,                 1.2313,                0.09924,                0.02575,                0.02388,                0.01114,                 1.6784,                 4.0761,                 1.6287,              0.0014638,              0.0014638,              0.0014638
                      7,                  1.406,                 1.7363,                 1.2375,                0.30711,                0.38197,                0.23798,                0.11709,                   1.62,                 3.2281,                 1.4596,              0.0016931,              0.0016931,              0.0016931
                      8,                 1.4344,                 1.6336,                 1.2401,                0.40566,                0.45923,                0.40681,                 0.2169,                 1.5928,                 2.6782,                 1.4438,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4215,                 1.5982,                 1.2386,                0.40707,                0.48069,                0.38204,                0.19222,                  1.557,                 3.1379,                 1.4669,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4636,                 1.5546,                 1.2658,                0.23159,                0.48119,                0.24366,                0.11922,                 1.5696,                 4.8457,                 1.4582,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.395,                 1.4652,                 1.2039,                 0.5024,                0.60086,                0.54626,                0.28678,                 1.5733,                 1.9366,                 1.3561,               0.001802,               0.001802,               0.001802
                     12,                 1.3744,                 1.3733,                 1.2394,                  0.547,                0.60116,                0.51003,                0.26052,                 1.6443,                 2.3176,                 1.4985,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3942,                 1.3743,                 1.2124,                0.84738,                0.65665,                0.77227,                 0.4073,                 1.5164,                 1.6503,                 1.4041,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4535,                 1.3694,                 1.2696,                 0.7686,                 0.6824,                0.74512,                  0.418,                  1.527,                 1.5155,                 1.4002,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3365,                  1.258,                 1.2195,                0.78913,                0.62661,                0.70709,                0.37967,                 1.5536,                 1.8619,                 1.3979,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3587,                 1.1933,                 1.1804,                0.73701,                0.72103,                0.78682,                 0.4332,                 1.5052,                 1.7207,                 1.3713,               0.001703,               0.001703,               0.001703
                     17,                 1.3841,                 1.2229,                 1.2389,                0.78156,                0.80258,                0.79943,                0.44333,                 1.5098,                 1.3661,                  1.369,              0.0016832,              0.0016832,              0.0016832
